name,number,status
Removal of the PyPI Mirror Auto Discovery and Naming Scheme,449,Final
Additional Unpacking Generalizations,448,Final
Add __getdescriptor__ method to metaclass,447,Deferred
Make newly created file descriptors non-inheritable,446,Final
Add new APIs to customize Python memory allocators,445,Final
Python Web3 Interface,444,Deferred
Single-dispatch generic functions,443,Final
Improving Python ZIP Application Support,441,Final
Safe object finalization,442,Final
Inclusion of implicit pip bootstrap in Python installation,439,Rejected
Version Identification and Dependency Specification,440,Final
Transitioning to release-file hosting on PyPI,438,Superseded
"A DSL for specifying signatures, annotations and argument converters",437,Rejected
The Argument Clinic DSL,436,Final
IDLE Enhancement Exception for All Branches,434,Active
Adding an Enum type to the Python standard library,435,Final
Easier suppression of file descriptor inheritance,433,Superseded
Restructuring the CPython startup sequence,432,Withdrawn
Time zone support improvements,431,Superseded
Migrating to Python 3 as the default online documentation,430,Final
Python 3.4 Release Schedule,429,Final
The pathlib module – object-oriented filesystem paths,428,Final
The Wheel Binary Package Format 1.0,427,Final
Metadata for Python Software Packages 2.0,426,Withdrawn
Compatibility Tags for Built Distributions,425,Final
A method for exposing a length hint,424,Final
Naming conventions and recipes related to packaging,423,Deferred
Simpler customisation of class creation,422,Withdrawn
Implicit Namespace Packages,420,Final
Adding sys.implementation,421,Final
Protecting cleanup statements from interruptions,419,Deferred
"Add monotonic time, performance counter, and process time functions",418,Final
Including mock in the Standard Library,417,Final
Add a frozendict builtin type,416,Rejected
Implement context suppression with exception attributes,415,Final
Explicit Unicode Literal for Python 3.3,414,Final
Faster evolution of the Python Standard Library,413,Withdrawn
Key-Sharing Dictionary,412,Final
Provisional packages in the Python standard library,411,Superseded
Use decimal.Decimal type for timestamps,410,Rejected
Suppressing exception context,409,Final
Standard library __preview__ package,408,Rejected
New release cycle and introducing long-term support versions,407,Deferred
Improved Encapsulation of Import State,406,Withdrawn
Python Virtual Environments,405,Final
Simplified Package Layout and Partitioning,402,Rejected
Python 2.8 Un-release Schedule,404,Final
General purpose decorator clause (aka “@in” clause),403,Deferred
BDFL Retirement,401,April Fool!
Deprecate codecs.StreamReader and codecs.StreamWriter,400,Deferred
Pure Python/C Accelerator Module Compatibility Requirements,399,Final
Python 3.3 Release Schedule,398,Final
Python launcher for Windows,397,Final
Module Version Numbers,396,Rejected
Qualified Names for Modules,395,Withdrawn
Python 3.2 Release Schedule,392,Final
Flexible String Representation,393,Final
The “python” Command on Unix-Like Systems,394,Active
Dictionary-Based Configuration For Logging,391,Final
Static metadata for Distutils,390,Rejected
argparse - New Command Line Parsing Module,389,Final
Changing the version comparison module in Distutils,386,Superseded
Backwards Compatibility Policy,387,Active
Migrating from Subversion to Mercurial,385,Final
Defining a Stable ABI,384,Final
Non-decodable Bytes in System Character Interfaces,383,Final
Mirroring infrastructure for PyPI,381,Withdrawn
Namespace Packages,382,Rejected
Syntax for Delegating to a Subgenerator,380,Final
Adding an Assignment Expression,379,Withdrawn
Format Specifier for Thousands Separator,378,Final
Allow __enter__() methods to skip the statement body,377,Rejected
Database of Installed Python Distributions,376,Final
Python 3.1 Release Schedule,375,Final
Choosing a distributed VCS for the Python project,374,Final
Python 2.7 Release Schedule,373,Final
Adding an ordered dictionary to collections,372,Final
Addition of the multiprocessing package to the standard library,371,Final
Per user site-packages directory,370,Final
Post import hooks,369,Withdrawn
Standard image protocol and class,368,Deferred
New Super,367,Superseded
Main module explicit relative imports,366,Final
Adding the pkg_resources module,365,Rejected
Transitioning to the Py3K Standard Library,364,Withdrawn
Syntax For Dynamic Attribute Access,363,Rejected
Function Signature Object,362,Final
Python 2.6 and 3.0 Release Schedule,361,Final
Externally Maintained Packages,360,Final
The “make” Statement,359,Withdrawn
The “bytes” Object,358,Final
Allowing Any Object to be Used for Slicing,357,Final
Python 2.5 Release Schedule,356,Final
Path - Object oriented filesystem paths,355,Rejected
Enumerations in Python,354,Superseded
Using ssize_t as the index type,353,Final
Required Superclass for Exceptions,352,Final
The freeze protocol,351,Rejected
Allow str() to return unicode strings,349,Rejected
Codetags,350,Rejected
Exception Reorganization for Python 3.0,348,Rejected
Migrating the Python CVS to Subversion,347,Final
User Defined (”,346,Withdrawn
Exception Chaining and Embedded Tracebacks,344,Superseded
Metadata for Python Software Packages 1.2,345,Superseded
The “with” Statement,343,Final
Coroutines via Enhanced Generators,342,Final
Unifying try-except and try-finally,341,Final
Anonymous Block Statements,340,Rejected
Design of the CPython Compiler,339,Withdrawn
Executing modules as scripts,338,Final
Logging Usage in the Standard Library,337,Deferred
Overloadable Boolean Operators,335,Rejected
Make None Callable,336,Rejected
Simple Coroutines via SuspendIteration,334,Withdrawn
Python Web Server Gateway Interface v1.0,333,Final
Byte vectors and String/Unicode Unification,332,Rejected
Locale-Independent Float/String Conversions,331,Final
Python Bytecode Verification,330,Rejected
Treating Builtins as Constants in the Standard Library,329,Rejected
Imports: Multi-Line and Absolute/Relative,328,Final
Decimal Data Type,327,Final
A Case for Top and Bottom Values,326,Rejected
Resource-Release Support for Generators,325,Rejected
subprocess - New process module,324,Final
Copyable Iterators,323,Deferred
Reverse Iteration,322,Final
Date/Time Parsing and Formatting,321,Withdrawn
Python 2.4 Release Schedule,320,Final
Python Synchronize/Asynchronize Block,319,Rejected
Decorators for Functions and Methods,318,Final
Eliminate Implicit Exception Instantiation,317,Rejected
Programming by Contract for Python,316,Deferred
Enhanced While Loop,315,Rejected
Metadata for Python Software Packages 1.1,314,Superseded
Adding Roman Numeral Literals to Python,313,Rejected
Simple Implicit Lambda,312,Deferred
Simplified Global Interpreter Lock Acquisition for Extensions,311,Final
Reliable Acquisition/Release Pairs,310,Rejected
Partial Function Application,309,Final
Conditional Expressions,308,Final
Extensions to the pickle protocol,307,Final
How to Change Python’s Grammar,306,Withdrawn
CSV File API,305,Final
Controlling Generation of Bytecode Files,304,Withdrawn
Extend divmod() for Multiple Divisors,303,Rejected
New Import Hooks,302,Final
Special __main__() function in modules,299,Rejected
Package Index and Metadata for Distutils,301,Final
The Locked Buffer Interface,298,Withdrawn
Support for System Upgrades,297,Rejected
Adding a bytes Object Type,296,Withdrawn
Interpretation of multiline string constants,295,Rejected
Type Names in the types Module,294,Rejected
Codec Error Handling Callbacks,293,Final
Simpler String Substitutions,292,Final
Backward Compatibility for the Python 2 Standard Library,291,Final
Generator Expressions,289,Final
Code Migration and Modernization,290,Active
Generators Attributes and Exceptions,288,Withdrawn
reStructuredText Docstring Format,287,Active
Enhanced Argument Tuples,286,Deferred
Adding a bool type,285,Final
Integer for-loops,284,Rejected
Python 2.3 Release Schedule,283,Final
A Logging System,282,Final
Loop Counter Iteration with range and xrange,281,Rejected
Optimizing access to globals,280,Deferred
Unicode file name support for Windows NT,277,Final
Universal Newline Support,278,Final
The enumerate() built-in function,279,Final
Simple Iterator for ints,276,Rejected
Switching on Multiple Values,275,Rejected
API for Block Encryption Algorithms v1.0,272,Final
Dict Comprehensions,274,Final
Import Modules from Zip Archives,273,Final
Prefixing sys.path by command line option,271,Rejected
uniq method for list objects,270,Rejected
Pgen Module for Python,269,Deferred
Extended HTTP functionality and WebDAV,268,Rejected
Optimized Access to Module Namespaces,267,Deferred
Optimizing Global Variable/Attribute Access,266,Withdrawn
Future statements in simulated shells,264,Final
Sorting Dictionaries by Value,265,Rejected
Defining Python Source Code Encodings,263,Final
A Database of Installed Python Packages,262,Rejected
Support for “wide” Unicode characters,261,Final
Simplify xrange(),260,Final
Omit printing newline after newline,259,Rejected
Docutils Design Specification,258,Rejected
Docstring Conventions,257,Active
Docstring Processing System Framework,256,Rejected
Making Classes Look More Like Types,254,Rejected
Simple Generators,255,Final
Subtyping Built-in Types,253,Final
Python 2.2 Release Schedule,251,Final
Making Types Look More Like Classes,252,Final
Using site-packages on Windows,250,Final
Python Database API Specification v1.0,248,Final
Python Database API Specification v2.0,249,Final
Python Interface Syntax,245,Rejected
API for Cryptographic Hash Functions,247,Final
Object Adaptation,246,Rejected
The ,244,Rejected
Module Repository Upload Mechanism,243,Withdrawn
Numeric Kinds,242,Rejected
Adding a Rational Literal to Python,240,Rejected
Metadata for Python Software Packages,241,Superseded
Adding a Rational Type to Python,239,Rejected
Changing the Division Operator,238,Final
Import on Case-Insensitive Platforms,235,Final
Unifying Long Integers and Integers,237,Final
Back to the __future__,236,Final
Iterators,234,Final
Function Attributes,232,Final
Python Online Help,233,Deferred
Warning Framework,230,Final
__findattr__(),231,Rejected
Using Distutils to Build Python,229,Final
Reworking Python’s Numeric Model,228,Withdrawn
Statically Nested Scopes,227,Final
Python 2.1 Release Schedule,226,Final
Elementwise/Objectwise Operators,225,Rejected
Attribute Docstrings,224,Rejected
Change the Meaning of ,223,Final
Web Library Enhancements,222,Deferred
Import As,221,Final
"Coroutines, Generators, Continuations",220,Rejected
Stackless Python,219,Deferred
Adding a Built-In Set Object Type,218,Final
Display Hook for Interactive Use,217,Final
Docstring Format,216,Rejected
String Interpolation,215,Superseded
Extended Print Statement,214,Final
Attribute Access Handlers,213,Deferred
Loop Counter Iteration,212,Rejected
Adding A New Outer Product Operator,211,Rejected
Decoupling the Interpreter Loop,210,Rejected
Multi-dimensional Arrays,209,Withdrawn
Reworking the Coercion Model,208,Final
Rich Comparisons,207,Final
Python Advanced Library,206,Withdrawn
Range Literals,204,Rejected
Weak References,205,Final
Augmented Assignments,203,Final
List Comprehensions,202,Final
Lockstep Iteration,201,Final
Python 2.0 Release Schedule,200,Final
Collecting information about git,103,Withdrawn
Doing Python Micro Releases,102,Superseded
Doing Python Releases 101,101,Active
Python Unicode Integration,100,Final
